地段位置或門牌,總價(萬元),總面積(坪),型態,屋齡,樓別/樓高,車位數,房間數,廳數,衛浴數,管理組織,電梯,公園,火車站,美術館,音樂廳,國民運動中心,捷運,博物館,醫院,圖書館,賣場,國小,國中,轉運站,工業區,污水處理廠,垃圾場,發電廠,墓地,殯儀館,機場,高速/快速公路,高鐵,
高雄市楠梓區大學三十三街６２號六樓,1145,50.27,住宅大樓(11層含以上有電梯),1,2,1,3,2,2,1,1,1.303109049,4.734905739,7.05893704,9.564702,11.81378165,2.8745,3.290458,1.3996,1.482160976,0.69634,1.362457239,0.8511,5.4451,6.450366016,1.430433837,11.99309245,13.531,2.097450445,4.601851176,17.85630897,4.944251,4.903272,
高雄市楠梓區德民路７８８號二樓之５,818,35.88,住宅大樓(11層含以上有電梯),7,1,1,2,2,1,1,1,0.298013075,3.3147654,7.185737767,9.654534,11.21206054,1.6236,3.177393,0.9202,0.723765394,0.17903,1.17398269,0.7549,3.9394,4.945460631,2.903370832,10.74331683,13.427,1.679658963,4.081036473,17.38395448,4.115038,4.156807,
高雄市仁武區霞海路２６９號十二樓,905,39.64,住宅大樓(11層含以上有電梯),1,3,1,2,2,1,1,1,0.357135475,1.812052948,4.785736871,6.562005,6.35819609,1.5237,3.464683,0.8979,1.937499646,0.237447,0.026264841,1.0192,4.3723,2.305315567,7.486313723,10.28937765,9.6148,1.654235147,2.929281825,12.6112456,1.26563,1.539967,
高雄市三民區民族一路８８之１號二十樓之４,360,15.75,住宅大樓(11層含以上有電梯),26,3,0,1,1,1,1,1,1.542479613,0.508390159,0.078424716,1.875203,2.682161417,1.2363,0.794291,0.5127,0.955700556,0.740671,0.273936621,0.5224,2.3738,3.771171329,6.827091996,7.865914454,4.8503,5.090200895,2.610926527,8.429826976,2.601503,4.969059,
高雄市鳳山區和德街１７１號十九樓,930,40.64,住宅大樓(11層含以上有電梯),1,3,1,2,2,2,1,1,1.299014216,1.515847695,5.317366962,2.132946,0.587754344,0.8825,4.485397,0.8945,0.814561365,0.415259,0.532904258,0.6961,3.1317,2.659849791,2.748684513,2.505551817,6.1868,3.059787741,5.461570333,4.985580529,2.793694,9.321409,
高雄市左營區文天路１３０號九樓之３,612,26.73,住宅大樓(11層含以上有電梯),27,2,0,3,2,2,1,1,0.881469667,0.819084322,4.382960229,6.466993,6.754304487,0.5306,2.587159,1.3064,1.247795102,0.392265,0.892939451,0.5773,4.4968,2.951755879,6.614221299,11.00221403,9.5748,1.856918166,3.474271448,12.98217256,0.841682,0.547843,
高雄市楠梓區高雄大學路１７０號四樓,1100,48.03,住宅大樓(11層含以上有電梯),7,1,1,3,2,2,1,1,1.089602467,3.949287594,7.587492096,10.08343,11.9125011,2.4069,3.637015,1.3615,1.278620491,0.561431,0.548355296,0.7781,4.6162,5.603683722,2.219757848,11.00679665,13.948,1.349737863,3.783421613,18.04912053,4.829059,4.875577,
高雄市鳳山區南京路２４５巷２６號六樓,1040,45.4,住宅大樓(11層含以上有電梯),1,2,1,3,2,2,1,1,0.980366054,2.46185946,4.573739674,1.836419,1.779505571,1.5138,3.758699,1.665,1.608787524,0.244585,0.67770698,0.5227,2.2802,1.138002632,2.24435492,3.881849171,4.54,3.582503259,5.503514593,4.218853705,2.308662,9.171339,
高雄市苓雅區武廟路１２１號四樓之７,510,22.25,華廈(10層含以下有電梯),39,1,0,2,1,1,1,1,1.314614058,0.719266182,1.85248305,1.118081,0.881904434,0.137,1.042613,0.6248,1.076197895,0.403759,0.374157184,0.3011,0.4578,1.926178105,4.922956864,6.080721247,4.1855,4.100894814,3.321408219,6.636468104,0.927332,6.615496,
高雄市三民區正忠路３５１巷１之２號三樓,618,26.96,住宅大樓(11層含以上有電梯),7,1,1,1,1,1,1,1,1.7347753,1.224568736,1.569283879,2.4762,2.130152417,2.0213,0.974004,1.4867,0.531575881,0.384932,0.378919635,0.9896,2.1516,3.715149542,6.476319672,6.80865265,5.8901,3.538486823,1.42514813,8.377433931,1.927327,4.942557,
